category_id	category_name	level	asset_path	stored_file	file_size
9520000000000000034	膨化食品	2	二级类目/休闲零食/膨化食品.jpg	ac04a01e-381e-5e05-a088-e00efa7b72ff.jpg	39131
9520000000000000035	饼干糕点	2	二级类目/休闲零食/饼干糕点.jpg	c46fa196-4b6f-5dfa-862d-f3648dbc695b.jpg	32738
9520000000000000036	糖果巧克力	2	二级类目/休闲零食/糖果巧克力.jpg	e47306e0-6797-50dc-8c48-9d2533e564c9.jpg	42749
9520000000000000037	果干蜜饯	2	二级类目/休闲零食/果干蜜饯.jpg	c1c69397-9bc7-5b9b-b774-64f0878097e3.jpg	69572
9520000000000000038	饮用水	2	二级类目/酒水饮料/饮用水.jpg	bad226fa-3411-5326-beb4-0171ed8ccf4a.jpg	36679
9520000000000000039	碳酸饮料	2	二级类目/酒水饮料/碳酸饮料.jpg	8eca7eb8-77bf-527c-b7a9-117e54d60c62.jpg	69177
9520000000000000040	果汁茶饮	2	二级类目/酒水饮料/果汁茶饮.jpg	44640e27-ac17-57fe-9e24-f38a3baf4442.jpg	44734
9520000000000000041	啤酒	2	二级类目/酒水饮料/啤酒.jpg	74cd9798-26cb-56de-aec8-e98b09d98739.jpg	24795
9520000000000000042	白酒红酒	2	二级类目/酒水饮料/白酒红酒.jpg	1d4c0431-0932-5330-ad96-1ebc8563a584.jpg	35202
9520000000000000043	洗发沐浴	2	二级类目/个护清洁/洗发沐浴.jpg	c5a20b45-7f88-5a0f-9f3e-1e07dc4d294f.jpg	130171
9520000000000000044	口腔护理	2	二级类目/个护清洁/口腔护理.jpg	eaf108ef-726a-5103-9cbd-cb0507352473.jpg	65431
9520000000000000045	纸品湿巾	2	二级类目/个护清洁/纸品湿巾.jpg	7b8ac67a-6a1c-5db1-b403-fa5eae15b48b.jpg	120442
9520000000000000046	家庭清洁	2	二级类目/个护清洁/家庭清洁.jpg	34b916cd-e464-5c47-9771-af81ea987486.jpg	14723
9520000000000000047	厨房用品	2	二级类目/日用百货/厨房用品.jpg	0a3c0999-fe11-5b33-a99f-d950f88318df.jpg	879227
9520000000000000048	家居收纳	2	二级类目/日用百货/家居收纳.jpg	c95dda32-e0fe-5b86-83d0-b965e1a5f0b9.jpg	56117
9520000000000000049	一次性用品	2	二级类目/日用百货/一次性用品.jpg	0afa3fd1-b950-5d45-90a9-f6cded92673f.jpg	205982
9520000000000000050	鲜切花	2	二级类目/鲜花绿植/鲜切花.jpg	148b5bcc-88db-552c-8b0e-cdf88e40cae0.jpg	51891
9520000000000000051	绿植多肉	2	二级类目/鲜花绿植/绿植多肉.jpg	a91e308e-4178-5ea0-b1f9-a792975cffe7.jpg	378418
